age,income,loan_amount,interest_rate,term_months,dti,delinquencies,credit_history_years,home_ownership,purpose,employment_length,default
54,83178.99,5423.57,7.28,60,40.73,0,9.0,OWN,debt_consolidation,10+,1
52,117148.77,30914.88,11.96,36,20.27,1,6.4,OWN,credit_card,3-5,1
27,67329.02,14228.95,16.01,36,41.84,1,11.0,MORTGAGE,small_business,3-5,0
61,71662.16,20156.11,12.08,60,42.86,1,13.2,MORTGAGE,home_improvement,5-10,0
30,50142.8,10705.05,8.68,60,51.95,1,6.4,RENT,credit_card,5-10,0
60,23795.73,6584.58,7.01,60,41.05,1,11.0,OTHER,credit_card,1-3,0
21,47945.61,13128.96,8.76,60,45.58,0,11.1,RENT,home_improvement,3-5,0
60,38142.1,23809.54,13.57,36,25.25,0,9.7,MORTGAGE,home_improvement,3-5,0
59,31059.91,10834.15,13.37,60,24.28,0,14.7,MORTGAGE,debt_consolidation,1-3,0
59,94447.2,8035.74,8.8,36,24.95,0,5.1,MORTGAGE,debt_consolidation,0-1,0
53,65457.25,16243.71,5.0,60,22.0,0,6.3,RENT,credit_card,5-10,0
44,67593.75,18992.18,13.68,36,23.5,0,4.9,MORTGAGE,major_purchase,10+,1
55,53819.55,28142.79,8.41,36,29.52,1,10.9,MORTGAGE,major_purchase,10+,0
34,56542.58,17830.0,14.76,36,17.34,0,6.9,OWN,home_improvement,10+,0
59,79291.01,20151.94,8.98,60,8.22,1,5.2,MORTGAGE,credit_card,10+,0
48,59353.26,20754.2,8.05,36,25.64,0,14.7,RENT,credit_card,0-1,0
43,70613.88,5775.88,12.61,36,15.07,0,15.2,RENT,small_business,3-5,0
45,56079.91,7293.34,21.43,60,16.11,0,6.7,MORTGAGE,other,0-1,0
48,53156.94,6328.83,15.0,60,20.57,0,2.5,RENT,small_business,5-10,0
22,31861.72,4342.83,12.54,36,18.28,1,15.5,MORTGAGE,small_business,10+,0
27,20445.02,21363.68,13.44,36,33.1,1,9.9,RENT,other,0-1,0
33,54768.76,17320.4,5.0,60,20.33,1,9.7,OWN,debt_consolidation,3-5,0
26,61129.93,15635.97,7.51,36,33.6,0,8.4,MORTGAGE,credit_card,3-5,0
42,34277.4,1000.0,5.0,36,24.06,0,4.8,MORTGAGE,credit_card,1-3,0
53,59310.5,31443.81,18.92,60,21.11,2,6.3,MORTGAGE,credit_card,5-10,0
53,61075.05,7845.82,18.11,36,23.58,1,10.7,RENT,small_business,3-5,1
44,16879.84,31414.5,13.57,36,9.08,0,6.2,RENT,debt_consolidation,3-5,0
62,41697.51,3406.07,12.54,36,25.38,0,9.7,MORTGAGE,debt_consolidation,10+,1
48,68145.28,8500.79,5.79,36,30.49,0,8.1,MORTGAGE,debt_consolidation,1-3,0
24,67741.17,1000.0,11.12,36,31.91,0,3.8,MORTGAGE,debt_consolidation,3-5,0
58,36926.5,17897.0,19.17,60,8.48,0,14.5,MORTGAGE,credit_card,5-10,0
49,63168.96,6189.95,12.53,36,6.81,1,10.4,RENT,debt_consolidation,3-5,1
52,80448.14,6416.0,9.74,60,16.63,1,9.3,OWN,debt_consolidation,3-5,0
48,75541.46,4019.89,5.0,60,35.85,0,10.2,OWN,credit_card,3-5,0
48,58094.28,21218.84,17.52,60,24.21,1,0.8,RENT,home_improvement,1-3,0
25,50640.47,20691.71,11.72,36,14.25,0,6.0,RENT,home_improvement,1-3,0
48,47413.11,29496.27,5.0,60,7.47,0,1.9,MORTGAGE,debt_consolidation,10+,0
59,69356.4,9514.35,8.3,36,15.16,1,8.5,OWN,other,1-3,0
35,63902.08,16750.55,6.89,60,14.48,1,9.3,RENT,debt_consolidation,10+,1
50,72588.08,4685.32,11.47,36,31.36,0,8.6,MORTGAGE,home_improvement,0-1,0
22,62637.48,12319.69,12.83,60,32.13,0,12.7,RENT,small_business,10+,0
38,76375.28,10849.24,9.99,36,11.5,0,2.0,MORTGAGE,small_business,10+,0
42,61891.85,18715.6,15.11,60,29.53,0,4.8,MORTGAGE,credit_card,0-1,1
69,75693.77,23136.17,12.32,36,28.51,0,9.7,MORTGAGE,debt_consolidation,5-10,0
31,77416.46,22928.53,16.25,36,10.2,0,9.1,MORTGAGE,small_business,5-10,0
34,43909.47,8257.5,10.57,60,21.16,0,2.7,MORTGAGE,home_improvement,3-5,0
41,23837.12,22987.74,24.18,36,25.41,1,12.8,OWN,major_purchase,10+,0
69,90869.86,14647.32,9.74,60,23.63,0,14.2,MORTGAGE,credit_card,1-3,0
62,65133.17,12403.22,8.39,60,4.89,0,9.7,MORTGAGE,other,10+,0
22,25710.28,9331.91,7.89,60,23.31,0,2.0,OWN,other,3-5,0
32,45723.61,10520.51,11.16,60,28.36,0,8.6,MORTGAGE,major_purchase,1-3,0
61,75437.49,28938.51,5.12,60,37.8,1,9.4,RENT,other,3-5,0
23,54406.46,17459.29,13.18,60,15.31,0,6.9,MORTGAGE,credit_card,1-3,1
62,49758.77,16396.89,5.0,36,16.55,1,13.4,RENT,debt_consolidation,3-5,0
34,88017.64,12902.03,12.65,36,19.91,1,7.5,MORTGAGE,home_improvement,1-3,0
65,39054.26,34567.83,6.59,60,24.91,2,16.4,RENT,home_improvement,10+,1
35,44036.93,25440.08,10.47,36,22.97,0,11.1,RENT,credit_card,3-5,0
42,64227.73,9231.5,14.42,36,28.04,0,9.1,RENT,debt_consolidation,3-5,1
53,67809.1,12811.08,21.22,36,10.75,1,11.7,MORTGAGE,home_improvement,10+,0
27,69926.86,13286.04,7.69,36,25.97,0,14.1,MORTGAGE,debt_consolidation,10+,0
48,78224.76,16166.98,11.4,36,14.58,0,11.6,RENT,major_purchase,5-10,0
45,63971.57,9390.19,9.1,60,20.57,0,7.7,RENT,other,0-1,0
59,69787.68,18510.53,8.52,60,39.08,0,5.4,MORTGAGE,debt_consolidation,10+,0
69,54815.81,26616.71,9.14,60,8.02,0,3.5,MORTGAGE,small_business,1-3,1
53,61253.97,4490.98,15.3,36,19.21,0,0.5,RENT,debt_consolidation,3-5,0
41,62150.68,5974.83,10.05,60,9.25,0,8.7,MORTGAGE,credit_card,10+,0
40,64301.96,11134.73,21.0,60,23.53,0,6.4,MORTGAGE,other,0-1,1
41,75450.8,11505.64,13.66,36,32.48,0,6.7,RENT,debt_consolidation,1-3,0
60,71102.91,30987.73,7.96,36,23.7,1,12.1,OWN,debt_consolidation,3-5,0
36,60884.34,23013.67,10.53,36,20.83,0,7.6,RENT,other,3-5,0
29,43817.48,22554.58,8.79,60,35.28,1,15.6,MORTGAGE,debt_consolidation,3-5,0
37,61353.43,12885.07,15.2,36,25.31,0,5.7,MORTGAGE,debt_consolidation,5-10,0
22,59439.64,12709.49,5.44,36,30.2,0,4.1,OWN,credit_card,10+,0
26,63863.63,3386.36,6.64,36,29.15,0,3.0,OTHER,debt_consolidation,10+,0
25,104130.51,21253.92,9.63,36,0.0,0,10.9,RENT,debt_consolidation,1-3,0
58,49524.54,18928.44,14.73,36,21.23,0,12.6,MORTGAGE,small_business,5-10,0
56,68445.78,25287.98,16.93,60,11.22,1,5.6,MORTGAGE,credit_card,10+,0
55,81369.24,13313.36,17.52,36,13.71,0,3.7,MORTGAGE,credit_card,1-3,0
43,61960.04,13865.77,14.12,60,36.75,0,14.1,MORTGAGE,home_improvement,3-5,1
56,106756.9,16360.36,11.67,36,18.25,0,2.2,RENT,debt_consolidation,0-1,0
28,52439.21,22135.18,15.18,36,40.93,0,12.0,RENT,credit_card,1-3,0
65,66481.78,3238.28,7.42,60,7.92,1,5.7,RENT,other,1-3,0
45,44023.89,20888.45,5.0,60,11.16,0,9.6,MORTGAGE,major_purchase,5-10,0
66,52969.51,14836.04,13.75,60,29.62,0,12.3,OWN,credit_card,5-10,0
28,64978.68,6530.9,7.98,36,18.59,0,9.9,OWN,credit_card,0-1,0
45,76926.08,1000.0,11.74,36,25.07,0,6.8,RENT,small_business,3-5,0
55,66381.9,13908.21,12.48,60,20.88,0,13.6,OWN,home_improvement,0-1,0
45,85182.3,26581.7,12.99,36,20.57,0,9.2,OWN,debt_consolidation,1-3,0
42,58100.69,28397.48,15.75,60,18.96,0,22.7,OWN,credit_card,10+,0
29,53356.63,17843.01,15.33,36,23.79,0,1.2,RENT,debt_consolidation,3-5,0
39,114079.7,30696.05,12.78,36,28.42,0,1.1,RENT,other,5-10,1
32,67884.75,14656.47,10.23,60,38.14,0,12.0,RENT,home_improvement,1-3,0
35,45610.37,22626.43,12.43,60,19.97,0,7.9,MORTGAGE,credit_card,0-1,0
54,46114.72,11390.15,9.62,60,18.06,0,11.2,MORTGAGE,credit_card,10+,0
51,41146.4,10883.21,11.21,60,16.78,0,3.6,MORTGAGE,other,1-3,0
50,78731.39,9579.93,22.47,36,36.7,0,8.2,MORTGAGE,credit_card,1-3,1
38,52712.45,1000.0,12.73,60,28.9,0,9.8,MORTGAGE,major_purchase,5-10,0
68,62547.25,25296.74,13.8,60,3.01,0,5.8,MORTGAGE,small_business,3-5,0
25,58729.83,9866.94,9.18,36,2.57,1,8.9,OWN,other,10+,0
37,74629.85,8588.49,16.08,36,13.7,0,2.6,RENT,credit_card,10+,0
26,43065.12,5560.23,15.04,60,24.3,0,9.6,RENT,major_purchase,1-3,0
37,38488.55,13365.12,15.07,36,21.67,0,13.8,MORTGAGE,debt_consolidation,1-3,0
68,64485.95,29107.94,12.86,60,27.15,0,3.0,OWN,other,5-10,0
38,72019.19,31750.23,16.14,36,20.25,0,2.8,RENT,debt_consolidation,1-3,0
65,66650.65,1713.06,17.09,60,35.97,0,12.8,MORTGAGE,credit_card,3-5,0
45,43810.93,12164.42,13.13,60,29.72,1,2.7,RENT,credit_card,1-3,0
55,73549.7,6725.14,11.54,60,22.78,0,11.4,MORTGAGE,small_business,10+,0
43,45122.78,22906.7,15.58,60,33.45,0,8.2,MORTGAGE,debt_consolidation,10+,1
34,49569.23,17292.75,8.38,36,5.51,1,6.3,RENT,debt_consolidation,1-3,0
58,41120.93,9907.45,9.13,60,21.15,2,13.9,RENT,small_business,0-1,1
68,86023.17,15580.58,11.79,60,23.38,0,11.7,OWN,credit_card,10+,0
33,72668.43,11180.65,5.03,60,28.02,0,9.1,MORTGAGE,debt_consolidation,1-3,1
59,72099.87,27913.97,15.31,60,4.85,1,0.5,MORTGAGE,debt_consolidation,1-3,0
33,84944.23,19375.68,8.15,60,19.4,0,10.8,MORTGAGE,other,1-3,0
56,116252.98,20358.59,10.11,60,26.0,0,3.7,RENT,home_improvement,1-3,0
59,25815.48,1000.0,11.15,36,26.77,1,7.1,RENT,home_improvement,1-3,0
43,45232.47,14465.69,12.16,60,33.86,0,8.0,MORTGAGE,small_business,1-3,0
57,47676.5,31665.69,10.63,60,29.62,0,15.6,MORTGAGE,small_business,0-1,0
34,42983.61,25609.03,11.73,36,21.39,0,7.0,RENT,credit_card,5-10,0
24,38448.34,1000.0,11.76,36,28.75,1,2.3,RENT,debt_consolidation,1-3,1
25,54006.94,12492.59,10.21,60,19.99,0,13.9,RENT,home_improvement,5-10,1
42,35667.93,5387.84,8.91,36,23.47,1,10.9,RENT,home_improvement,5-10,0
65,66700.85,28688.81,16.33,36,29.95,0,11.1,MORTGAGE,debt_consolidation,3-5,0
27,61033.97,16954.23,5.0,36,21.55,1,14.0,MORTGAGE,small_business,10+,0
43,69620.57,8857.64,11.18,60,25.62,1,14.9,RENT,debt_consolidation,3-5,0
55,70154.57,15273.26,10.12,60,31.61,0,4.4,OWN,credit_card,1-3,0
30,72060.14,1000.0,13.68,60,29.12,0,2.4,RENT,credit_card,3-5,0
56,52531.82,6320.31,6.18,60,34.33,0,11.4,RENT,other,1-3,0
35,102422.87,15291.55,10.0,60,45.28,0,7.0,RENT,debt_consolidation,1-3,0
60,64688.62,21765.4,11.59,36,29.03,1,7.3,RENT,credit_card,10+,1
49,22750.3,1000.0,16.28,36,17.39,0,3.5,RENT,credit_card,10+,0
47,39952.49,11950.76,13.33,36,27.12,0,10.3,MORTGAGE,other,3-5,0
29,25189.94,23077.49,7.27,36,26.69,0,9.6,MORTGAGE,credit_card,3-5,1
43,60346.69,3388.37,10.05,36,28.14,0,7.4,MORTGAGE,credit_card,3-5,1
62,57563.9,16833.46,15.54,36,36.95,0,2.4,OWN,other,0-1,0
21,50631.49,15527.8,7.2,60,5.16,0,12.8,RENT,home_improvement,1-3,0
58,100218.52,28715.04,11.69,60,37.14,0,9.0,RENT,debt_consolidation,3-5,0
45,70979.66,13158.91,11.96,36,40.5,0,12.5,RENT,debt_consolidation,1-3,0
56,74521.97,13627.2,10.46,60,27.68,0,0.5,RENT,home_improvement,1-3,0
53,41378.53,21839.68,22.78,60,27.92,0,8.2,RENT,credit_card,5-10,0
42,40017.1,4389.21,10.35,60,19.58,1,5.1,OTHER,debt_consolidation,3-5,0
36,60736.11,13232.93,13.8,60,22.06,1,8.1,OTHER,credit_card,1-3,1
51,63460.14,11354.2,8.93,60,28.98,0,11.8,MORTGAGE,other,10+,1
27,22873.77,13888.71,14.11,60,28.34,0,9.5,MORTGAGE,major_purchase,5-10,0
49,56393.86,21787.25,15.48,60,29.21,0,8.1,MORTGAGE,credit_card,3-5,0
25,60281.44,19433.29,9.65,36,28.27,0,8.1,MORTGAGE,debt_consolidation,1-3,0
52,55697.02,9010.54,11.78,36,30.98,0,1.8,MORTGAGE,debt_consolidation,5-10,0
51,43732.19,16093.59,8.42,36,29.87,1,4.4,RENT,other,5-10,0
25,49209.3,26923.53,7.42,36,11.76,0,12.5,OTHER,home_improvement,3-5,0
58,56462.82,8349.07,16.15,36,30.32,0,6.0,MORTGAGE,debt_consolidation,5-10,0
41,61816.0,16161.33,9.78,36,40.59,0,12.6,RENT,major_purchase,1-3,0
59,72095.83,13454.71,5.0,36,21.73,1,11.3,OWN,debt_consolidation,1-3,0
23,81617.12,14495.96,19.06,36,36.99,0,11.5,MORTGAGE,credit_card,10+,0
29,54113.05,1954.74,8.79,36,12.83,0,9.3,MORTGAGE,debt_consolidation,1-3,0
45,50876.88,26286.1,11.01,60,21.7,0,6.3,RENT,small_business,3-5,0
30,68753.11,8805.18,18.56,60,15.59,0,7.4,OWN,major_purchase,10+,0
37,72216.9,23208.58,11.43,60,35.79,1,10.6,RENT,credit_card,0-1,0
53,51315.99,10028.99,11.35,36,38.4,0,0.5,RENT,credit_card,10+,0
28,75807.87,9995.96,7.09,60,21.01,0,13.0,RENT,small_business,10+,0
54,79591.71,24704.99,5.46,36,33.71,0,6.0,RENT,debt_consolidation,5-10,0
26,85833.73,22951.08,11.33,36,38.51,0,7.7,OWN,debt_consolidation,5-10,1
29,95566.42,16669.33,13.45,36,21.67,1,7.7,OWN,small_business,10+,1
49,42671.68,21089.2,13.22,60,23.3,0,7.8,MORTGAGE,small_business,1-3,0
59,60277.96,12691.58,10.07,60,29.34,0,2.7,OWN,debt_consolidation,5-10,1
29,60225.55,14933.06,12.08,60,13.57,0,8.6,RENT,debt_consolidation,1-3,0
35,58038.53,9707.0,5.0,60,23.1,0,10.4,OWN,major_purchase,10+,0
66,47014.74,22232.52,13.84,36,43.43,0,0.5,MORTGAGE,debt_consolidation,3-5,1
69,30288.76,9452.69,12.65,60,17.0,0,2.8,OWN,home_improvement,5-10,0
49,61853.59,26881.25,19.89,36,30.54,0,11.6,MORTGAGE,home_improvement,1-3,1
42,44632.89,12473.33,12.03,36,27.24,0,10.8,RENT,home_improvement,1-3,0
37,61719.87,15164.07,8.23,60,20.36,0,9.2,RENT,credit_card,5-10,0
51,44119.13,21069.82,11.8,60,24.22,0,5.3,MORTGAGE,major_purchase,3-5,1
49,38006.83,15190.92,10.69,36,39.53,0,10.9,RENT,other,3-5,1
35,64685.97,12616.73,13.74,36,27.54,1,3.2,RENT,home_improvement,5-10,1
22,63018.43,14759.81,12.11,36,29.1,0,7.5,RENT,credit_card,1-3,0
28,71585.64,22150.55,6.96,36,38.01,1,2.8,OWN,other,1-3,1
67,103717.28,9697.18,5.46,36,19.11,1,7.4,MORTGAGE,credit_card,1-3,0
41,65545.79,13990.1,13.05,60,11.53,1,3.9,MORTGAGE,debt_consolidation,10+,0
44,69701.64,15082.29,17.53,36,39.68,0,11.0,MORTGAGE,debt_consolidation,1-3,0
43,38448.77,21916.68,12.32,36,23.37,1,9.7,RENT,debt_consolidation,1-3,0
59,34261.85,14201.24,15.25,36,30.94,0,5.7,RENT,debt_consolidation,10+,0
24,91656.59,29466.39,16.05,60,14.38,0,12.4,MORTGAGE,major_purchase,5-10,0
25,41530.4,13747.69,13.07,36,25.89,0,4.2,OWN,debt_consolidation,5-10,0
34,39121.12,13098.53,8.74,36,11.03,0,7.9,MORTGAGE,credit_card,3-5,1
44,59218.02,13631.74,12.78,60,22.64,0,5.5,MORTGAGE,small_business,5-10,0
53,58196.15,4466.87,16.83,60,15.52,0,11.0,RENT,debt_consolidation,10+,0
45,41949.87,6706.19,14.12,36,13.22,1,10.6,MORTGAGE,credit_card,10+,0
42,53900.54,10754.66,14.99,60,18.97,1,13.2,RENT,other,5-10,0
66,84587.51,24086.64,10.15,36,0.0,0,8.3,MORTGAGE,debt_consolidation,5-10,0
28,43880.13,14734.99,11.19,60,10.4,0,0.5,RENT,debt_consolidation,5-10,1
49,32126.55,11122.85,11.53,36,29.82,0,6.3,MORTGAGE,debt_consolidation,5-10,0
47,78851.87,24812.28,11.79,60,25.48,0,14.3,OWN,home_improvement,5-10,0
44,69845.94,27409.42,16.67,60,11.26,1,6.7,RENT,credit_card,1-3,1
60,47589.63,25043.06,5.0,60,27.48,0,0.5,OTHER,other,5-10,0
34,28356.66,8175.28,12.12,60,13.22,0,9.8,RENT,home_improvement,3-5,1
67,45107.53,11038.01,11.68,36,29.22,0,10.1,OWN,home_improvement,1-3,0
37,58905.91,29509.89,6.51,60,20.84,0,5.1,RENT,other,0-1,1
47,83313.44,16929.12,14.69,36,18.75,0,7.0,MORTGAGE,debt_consolidation,1-3,0
46,39268.36,12858.98,9.1,36,21.09,1,4.6,OWN,major_purchase,3-5,0
62,58309.6,20746.78,10.57,36,47.6,0,10.1,MORTGAGE,major_purchase,1-3,0
42,73502.89,23058.39,19.4,60,14.41,1,8.2,MORTGAGE,home_improvement,5-10,0
34,15000.0,10428.4,16.04,60,24.27,1,3.3,MORTGAGE,home_improvement,10+,0
22,80675.72,16755.52,14.3,60,29.81,0,8.0,MORTGAGE,debt_consolidation,0-1,0
38,36350.99,22412.48,13.52,36,12.38,0,5.1,MORTGAGE,major_purchase,1-3,0
61,66639.91,5717.7,11.34,60,6.06,2,13.8,RENT,home_improvement,1-3,0
21,64933.66,15098.76,20.0,60,15.99,0,11.6,MORTGAGE,major_purchase,5-10,0
64,81691.73,6084.88,15.21,60,29.59,0,7.5,RENT,small_business,1-3,0
47,71018.49,7131.36,9.0,36,18.58,0,8.3,RENT,credit_card,1-3,0
27,15000.0,10495.2,6.4,36,19.69,0,12.1,OWN,other,1-3,0
35,44304.42,18816.96,14.27,60,31.11,0,7.3,OWN,debt_consolidation,1-3,0
